date,tweets,increase,country
03/23/2020,5368,330,CA
03/24/2020,5664,296,CA
03/25/2020,5936,272,CA
03/26/2020,6211,275,CA
03/27/2020,6526,315,CA
03/28/2020,7017,491,CA
03/29/2020,7493,476,CA
03/30/2020,7657,164,CA
03/31/2020,7892,235,CA
04/01/2020,7967,75,CA
04/02/2020,8138,171,CA
04/03/2020,8344,206,CA
04/04/2020,8602,258,CA
04/05/2020,8830,228,CA
04/06/2020,9073,243,CA
04/07/2020,9328,255,CA
04/08/2020,9367,39,CA
04/09/2020,9404,37,CA
04/10/2020,9608,204,CA
04/11/2020,9825,217,CA
04/12/2020,10033,208,CA
04/13/2020,10224,191,CA
04/14/2020,10388,164,CA
04/15/2020,10582,194,CA
04/16/2020,10743,161,CA
04/17/2020,10860,117,CA
04/18/2020,11050,190,CA
04/19/2020,11198,148,CA
04/20/2020,11339,141,CA
04/21/2020,11521,182,CA
04/22/2020,11667,146,CA
04/23/2020,11832,165,CA
04/24/2020,11929,97,CA
04/26/2020,12093,164,CA
04/27/2020,12234,141,CA
04/28/2020,12423,189,CA
04/29/2020,12640,217,CA
04/30/2020,12919,279,CA
05/01/2020,13117,198,CA
05/02/2020,13296,179,CA
05/03/2020,13476,180,CA
05/04/2020,13510,34,CA
05/05/2020,13685,175,CA
05/06/2020,13841,156,CA
05/07/2020,14049,208,CA
05/08/2020,14206,157,CA
05/09/2020,14373,167,CA
05/10/2020,14478,105,CA
05/11/2020,14625,147,CA
05/12/2020,14791,166,CA
05/13/2020,14837,46,CA
05/14/2020,14859,22,CA
01/20/2020,4,0,CN
01/21/2020,40,36,CN
01/22/2020,83,43,CN
01/23/2020,139,56,CN
01/24/2020,208,69,CN
01/25/2020,259,51,CN
01/26/2020,327,68,CN
01/27/2020,393,66,CN
01/28/2020,404,11,CN
01/29/2020,474,70,CN
01/30/2020,565,91,CN
01/31/2020,672,107,CN
02/01/2020,767,95,CN
02/02/2020,824,57,CN
02/03/2020,874,50,CN
02/04/2020,933,59,CN
02/05/2020,982,49,CN
02/06/2020,1052,70,CN
02/07/2020,1133,81,CN
02/08/2020,1170,37,CN
02/09/2020,1223,53,CN
02/10/2020,1267,44,CN
02/11/2020,1339,72,CN
02/12/2020,1377,38,CN
02/13/2020,1403,26,CN
02/14/2020,1426,23,CN
02/16/2020,1450,24,CN
02/17/2020,1485,35,CN
02/18/2020,1533,48,CN
02/19/2020,1571,38,CN
02/20/2020,1593,22,CN
02/21/2020,1615,22,CN
02/22/2020,1648,33,CN
02/23/2020,1681,33,CN
02/24/2020,1683,2,CN
02/25/2020,1687,4,CN
02/26/2020,1696,9,CN
02/27/2020,1705,9,CN
02/28/2020,1804,99,CN
02/29/2020,1851,47,CN
03/01/2020,1886,35,CN
03/02/2020,1919,33,CN
03/03/2020,1949,30,CN
03/04/2020,2006,57,CN
03/05/2020,2075,69,CN
03/06/2020,2116,41,CN
03/07/2020,2163,47,CN
03/08/2020,2210,47,CN
03/09/2020,2247,37,CN
03/11/2020,2259,12,CN
03/12/2020,2315,56,CN
03/13/2020,2383,68,CN
03/14/2020,2442,59,CN
03/15/2020,2509,67,CN
03/16/2020,2558,49,CN
03/17/2020,2647,89,CN
03/18/2020,2729,82,CN
03/19/2020,2803,74,CN
03/20/2020,2864,61,CN
03/21/2020,3024,160,CN
03/22/2020,3149,125,CN
03/23/2020,3305,156,CN
03/24/2020,3381,76,CN
03/25/2020,3489,108,CN
03/26/2020,3555,66,CN
03/27/2020,3597,42,CN
